token_a,token_b,count
iphones,one,8
iphone,long,8
first,work,8
thing,time,8
phone,soon,8
anyone,buy,8
video,year,8
screen,small,8
new,use,8
buying,pro,8
much,screen,8
new,shutter,8
make,sense,8
never,one,8
iphones,know,8
max,switch,8
change,upgrade,8
need,think,8
newest,year,8
back,want,8
camera,looking,8
know,model,8
iphone,stick,8
time,using,8
keep,new,8
good,look,8
exactly,phone,8
buy,think,8
additional,button,8
button,press,8
day,last,8
fold,phone,8
camera,literally,8
like,using,8
buy,time,8
really,want,8
know,mean,8
know,pro,8
phone,zacgougeon,8
literally,look,8
feature,phone,8
like,seems,8
hold,phone,8
good,max,8
design,model,8
need,samsung,8
always,look,8
look,many,8
iphones,last,8
many,new,8
phone,pretty,8
anymore,new,8
apple,used,8
get,newest,8
pro,soon,8
year,yearly,8
apple,everyone,8
samsung,way,8
lol,pro,8
iphones,make,8
one,plus,8
even,model,8
non,phone,8
even,look,8
rocking,still,8
apple,world,8
feel,pro,8
big,phone,8
apple,price,8
even,thing,8
going,thing,8
mean,new,8
even,think,8
different,people,8
phone,say,8
apple,something,8
apple,looking,8
new,probably,8
difference,see,8
people,something,8
apple,video,8
get,iphones,8
camera,maybe,8
new,releasing,8
going,upgrade,8
make,model,8
going,think,8
first,like,8
apple,getting,8
changed,like,8
first,used,8
car,phone,8
button,model,8
got,tell,8
innovation,phone,8
action,button,8
longer,phone,8
changed,thing,8
getting,like,8
innovation,iphone,8
back,good,8
big,like,8
feel,use,8
phone,stop,8
camera,feature,8
iphones,pro,8
company,people,8
change,enough,8
every,since,8
change,much,8
greatest,need,8
big,iphone,8
design,feature,8
lot,year,8
phone,releasing,8
android,iphones,8
already,new,8
iphones,really,8
many,samsung,8
samsung,zacgougeon,8
well,year,8
back,use,8
make,thing,8
galaxy,work,8
bigger,screen,8
camera,set,8
making,one,8
one,time,8
always,make,8
every,update,8
capture,pro,8
changed,new,8
case,need,8
video,want,8
need,work,8
camera,placement,8
buy,old,8
latest,want,8
everyone,iphone,8
samsung,tell,8
one,think,8
feel,get,8
difference,phone,8
iphone,series,8
end,like,8
last,need,8
going,screen,8
buy,gon,8
change,got,8
first,max,8
iphone,upgraded,8
let,pro,8
latest,model,8
every,upgrading,8
going,model,8
need,use,7
people,point,7
people,see,7
company,one,7
like,looking,7
since,thing,7
even,going,7
need,time,7
might,new,7
battery,still,7
camera,fan,7
always,thing,7
change,made,7
love,new,7
look,need,7
like,video,7
button,slot,7
another,pro,7
actually,camera,7
iphone,personally,7
battery,better,7
device,use,7
day,really,7
day,make,7
design,really,7
every,instead,7
phone,side,7
buy,release,7
iphone,ultra,7
since,upgrade,7
apple,reason,7
let,max,7
button,probably,7
actual,iphone,7
battery,use,7
different,samsung,7
damn,iphone,7
even,want,7
guess,iphone,7
every,software,7
enough,make,7
back,day,7
think,using,7
day,one,7
please,year,7
hand,pro,7
actually,color,7
even,last,7
get,love,7
enough,every,7
day,new,7
apple,zacgougeon,7
day,like,7
current,iphone,7
come,new,7
company,design,7
company,release,7
camera,use,7
apple,next,7
really,still,7
every,product,7
iphones,think,7
changing,samsung,7
case,want,7
people,think,7
glad,got,7
glad,phone,7
case,enough,7
apple,battery,7
apple,least,7
black,pro,7
camera,different,7
think,want,7
phone,please,7
apple,ultra,7
folding,phone,7
give,phone,7
battery,day,7
camera,ugly,7
display,iphone,7
like,went,7
phone,went,7
pro,tell,7
design,good,7
android,design,7
galaxy,switch,7
bump,look,7
every,wait,7
lol,look,7
every,feature,7
still,user,7
maybe,phone,7
like,making,7
phone,smart,7
iphone,sure,7
people,way,7
iphone,take,7
literally,year,7
making,pro,7
apple,take,7
money,want,7
much,people,7
iphone,newest,7
camera,focus,7
one,release,7
change,different,7
apple,obviously,7
camera,love,7
case,pro,7
camera,extra,7
galaxy,max,7
base,phone,7
buy,different,7
dont,year,7
every,nothing,7
always,money,7
always,release,7
even,say,7
display,pro,7
look,something,7
apple,stop,7
long,time,7
apple,took,7
iphone,notch,7
even,people,7
dont,phone,7
buy,thing,7
plus,using,7
buy,really,7
phone,took,7
camera,last,7
apple,logo,7
always,buy,7
use,user,7
apple,sell,7
going,samsung,7
get,good,7
fine,phone,7
back,lew,7
getting,max,7
camera,gon,7
iphones,old,7
old,use,7
probably,year,7
day,still,7
iphone,zacgougeon,7
design,since,7
get,way,7
money,need,7
iphone,started,7
etc,phone,7
every,stop,7
change,still,7
max,really,7
max,ultra,7
one,thing,7
iphones,thing,7
model,samsung,7
care,iphone,7
good,still,7
getting,one,7
newer,year,7
let,new,7
iphone,launch,7
design,think,7
button,year,7
first,switch,7
sim,tray,7
samsung,used,7
iphone,reason,7
thing,user,7
old,time,7
got,used,7
much,still,7
lol,year,7
galaxy,like,7
samsung,say,7
know,make,7
iphones,model,7
back,get,7
lol,samsung,7
button,take,7
company,make,7
get,update,7
innovation,new,7
know,want,7
mean,year,7
base,camera,7
got,soon,7
camera,since,7
model,thing,7
glad,max,7
already,design,7
another,new,7
even,feel,7
glad,pro,7
come,upgrade,7
better,want,7
every,much,7
black,model,7
mean,pro,7
change,going,7
come,every,7
come,get,7
bought,iphone,7
camera,never,7
lol,still,7
android,people,7
apple,many,7
ago,phone,7
need,old,7
iphone,rocking,7
new,user,7
camera,iphones,7
many,upgrade,7
iphones,samsung,7
change,know,7
button,use,7
apple,must,7
china,iphone,7
battery,need,7
apple,plus,7
like,software,7
one,screen,7
later,phone,7
big,screen,7
nothing,samsung,7
big,change,7
next,upgrade,7
apple,basically,7
new,vision,7
iphones,look,7
apple,case,7
design,many,7
iphone,regular,7
go,iphone,7
buy,newest,7
iphone,saying,7
boring,iphone,7
apple,watch,7
look,old,7
better,changed,7
going,layout,7
maybe,pro,7
bigger,max,7
phone,wait,7
different,upgrade,7
max,wait,7
time,upgrade,7
model,screen,7
every,getting,7
model,use,7
day,samsung,7
samsung,ultra,7
make,much,7
apple,size,7
still,want,7
battery,really,7
know,let,7
phone,sure,7
iphone,pocket,7
device,one,7
better,make,7
one,use,7
button,many,7
like,shutter,7
going,keep,7
brand,iphone,7
camera,photo,7
black,color,7
case,time,7
change,layout,7
apple,guy,7
iphone,older,7
time,video,7
give,iphone,7
pro,went,7
max,used,7
point,pro,7
button,say,7
iphone,little,7
max,using,7
iphones,still,7
apps,iphone,7
came,iphone,7
actually,get,7
camera,two,7
change,really,7
version,year,7
apple,move,6
last,model,6
got,screen,6
fake,iphone,6
new,slightly,6
tell,work,6
everything,iphone,6
difference,make,6
max,went,6
point,still,6
pro,yeah,6
phone,saying,6
phone,someone,6
comment,iphone,6
made,year,6
camera,quality,6
iphone,nobody,6
let,year,6
one,reason,6
phone,understand,6
apple,lost,6
old,still,6
apple,boy,6
boy,fan,6
got,making,6
iphone,standard,6
camera,let,6
camera,lot,6
huawei,phone,6
get,getting,6
older,phone,6
make,product,6
improvement,year,6
iphones,latest,6
come,pro,6
first,time,6
anyone,get,6
like,longer,6
difference,tell,6
feel,know,6
feature,pro,6
upgraded,year,6
much,one,6
iphone,talking,6
iphone,later,6
better,know,6
get,upgrading,6
everyone,phone,6
since,still,6
apple,store,6
everyone,think,6
basically,new,6
couple,year,6
like,product,6
iphone,obviously,6
pro,size,6
care,want,6
changed,phone,6
innovation,time,6
screen,thing,6
let,one,6
soon,tell,6
battery,much,6
like,probably,6
iphone,waiting,6
button,secondary,6
buy,buying,6
newest,people,6
got,let,6
let,tell,6
apple,ran,6
actually,button,6
release,still,6
need,something,6
money,much,6
dont,know,6
max,right,6
max,video,6
buy,dont,6
always,change,6
apple,customer,6
new,placement,6
phone,right,6
case,one,6
apple,lot,6
getting,model,6
honestly,like,6
unbox,video,6
never,year,6
let,switch,6
nothing,upgrade,6
already,like,6
back,thing,6
galaxy,look,6
battery,get,6
battery,max,6
anymore,need,6
got,next,6
pro,way,6
buy,went,6
camera,well,6
huawei,samsung,6
tell,used,6
come,wait,6
color,look,6
first,tell,6
make,release,6
button,max,6
care,get,6
model,older,6
flip,like,6
identical,look,6
back,feel,6
camera,first,6
camera,keep,6
upgrade,use,6
lol,max,6
back,battery,6
already,phone,6
lol,make,6
company,look,6
feature,want,6
know,thing,6
apple,galaxy,6
every,literally,6
better,io,6
upgrade,using,6
max,personally,6
apple,quality,6
pink,pro,6
another,still,6
mean,one,6
first,get,6
first,one,6
galaxy,used,6
button,vision,6
