token_a,token_b,count
buy,point,6
apple,version,6
new,point,6
button,get,6
even,though,6
shit,year,6
even,iphones,6
company,upgrade,6
battery,even,6
least,new,6
least,phone,6
apple,case,6
fact,smxke,6
got,making,6
day,every,6
got,screen,6
company,need,6
getting,model,6
camera,even,6
apple,enough,6
look,ugly,6
apple,folding,6
anything,pro,6
every,love,6
small,year,6
model,older,6
apple,move,6
care,get,6
feature,pro,6
upgraded,year,6
buy,dont,6
first,time,6
every,making,6
samsung,time,6
case,one,6
let,make,6
apple,etc,6
new,stick,6
feel,iphones,6
camera,stick,6
max,went,6
back,thing,6
good,use,6
hand,pro,6
unbox,video,6
changed,phone,6
innovation,time,6
huawei,phone,6
huawei,samsung,6
battery,change,6
design,enough,6
difference,make,6
always,model,6
galaxy,look,6
max,right,6
max,video,6
since,still,6
better,io,6
max,soon,6
max,personally,6
better,iphones,6
high,phone,6
camera,small,6
camera,chip,6
apple,small,6
come,new,6
chip,phone,6
look,pretty,6
actually,look,6
got,work,6
phone,went,6
need,something,6
difference,see,6
let,pro,5
let,samsung,5
kicking,max,5
kicking,personally,5
kicking,phone,5
kicking,pro,5
kicking,samsung,5
kicking,soon,5
kicking,sooner,5
first,making,5
huawei,switch,5
huawei,tell,5
samsung,sooner,5
enough,like,5
huawei,soon,5
better,user,5
change,risk,5
galaxy,let,5
sooner,used,5
kicking,making,5
huawei,sooner,5
making,personally,5
let,soon,5
let,sooner,5
let,used,5
five,medium,5
five,star,5
medium,star,5
huawei,used,5
huawei,work,5
iphone,kicking,5
iphone,sooner,5
kicking,let,5
current,model,5
cool,phone,5
let,max,5
day,design,5
fold,look,5
come,model,5
know,money,5
know,release,5
like,money,5
current,every,5
iphone,tho,5
back,time,5
google,phone,5
chip,iphone,5
